time,lat,lon,depth
 13:51:06.26,57.80128,-152.15417,45.92664
 13:51:05.66,57.80126,-152.15417,44.85422
 13:51:07.26,57.80131,-152.15417,43.61900
 13:51:11.86,57.80145,-152.15418,42.12090
 13:51:33.86,57.80208,-152.15420,42.12090
 13:51:32.86,57.80205,-152.15419,39.63352
 13:51:34.06,57.80209,-152.15420,39.18743
 13:51:35.06,57.80211,-152.15421,42.17467
 13:51:33.86,57.80208,-152.15420,43.52979
 13:51:34.66,57.80210,-152.15420,42.74139
 13:51:34.66,57.80210,-152.15420,39.15337
 13:51:35.46,57.80212,-152.15422,39.70208
 13:51:36.26,57.80214,-152.15422,44.02675
 13:51:36.46,57.80215,-152.15422,43.04395
 13:51:49.86,57.80251,-152.15428,44.39419
 13:52:38.66,57.80380,-152.15460,42.09998
 13:52:40.46,57.80385,-152.15460,42.83783
 13:52:38.66,57.80380,-152.15460,38.88924
 13:53:39.07,57.80539,-152.15463,42.24875
 13:54:43.07,57.80653,-152.15384,41.02010
 13:54:47.27,57.80642,-152.15379,40.34267
 13:54:48.47,57.80640,-152.15377,38.93138
 13:54:48.67,57.80639,-152.15376,37.11343
 13:54:49.27,57.80637,-152.15375,38.28357
 13:54:50.47,57.80635,-152.15373,37.38911
 13:54:49.47,57.80637,-152.15375,39.39952
 13:54:50.27,57.80635,-152.15374,37.82524
 13:54:50.27,57.80635,-152.15374,40.73780
 13:54:50.67,57.80634,-152.15373,36.05680
 13:54:53.27,57.80629,-152.15367,37.62361
 13:54:53.07,57.80629,-152.15368,36.31609
 13:55:02.07,57.80606,-152.15357,42.73403
 13:55:27.67,57.80541,-152.15363,39.32633
 13:57:43.07,57.80206,-152.15345,41.40321
 13:57:44.47,57.80202,-152.15343,40.67507
 13:57:47.87,57.80194,-152.15344,42.18781
 13:57:46.87,57.80196,-152.15343,41.61361
 13:57:50.67,57.80186,-152.15345,40.83041
 13:57:50.07,57.80188,-152.15345,41.22871
 13:57:53.47,57.80180,-152.15345,40.78037
 13:57:54.27,57.80177,-152.15345,40.33811
 13:57:54.87,57.80175,-152.15345,39.25912
 13:57:55.47,57.80173,-152.15345,40.48986
 13:57:55.27,57.80174,-152.15345,43.47113
 13:57:55.07,57.80175,-152.15345,42.53015
 13:57:55.67,57.80173,-152.15345,38.57803
 13:57:55.07,57.80175,-152.15345,37.23703
 13:57:57.07,57.80170,-152.15345,38.48073
 13:57:57.87,57.80168,-152.15346,37.43989
 13:57:58.67,57.80166,-152.15347,35.65651
 13:57:58.47,57.80167,-152.15347,34.56915
 13:57:58.67,57.80166,-152.15347,28.76943
 13:57:59.47,57.80165,-152.15347,31.05018
 13:58:00.27,57.80162,-152.15347,31.75278
 13:58:02.07,57.80157,-152.15348,30.37806
 13:58:02.07,57.80157,-152.15348,33.72476
 13:58:03.67,57.80153,-152.15349,28.27205
 13:58:04.47,57.80152,-152.15350,29.92997
 13:58:05.27,57.80149,-152.15350,29.12982
 13:58:04.27,57.80152,-152.15350,45.28302
 13:58:07.07,57.80145,-152.15352,33.79844
 13:58:06.67,57.80146,-152.15352,35.35629
 13:58:07.47,57.80143,-152.15352,30.92728
 13:58:08.67,57.80141,-152.15354,46.47032
 13:58:09.27,57.80139,-152.15355,46.25822
 13:58:10.67,57.80136,-152.15357,42.20753
 13:58:10.07,57.80137,-152.15356,45.18852
 13:58:11.67,57.80133,-152.15357,30.12892
 13:58:13.27,57.80129,-152.15360,34.62292
 13:58:13.67,57.80128,-152.15360,46.17757
 13:58:15.47,57.80123,-152.15362,27.86778
 13:58:16.87,57.80120,-152.15363,27.53719
 13:58:18.27,57.80117,-152.15363,28.07489
 13:58:47.07,57.80075,-152.15270,50.34477
 13:58:48.87,57.80080,-152.15261,47.89224
 13:58:48.27,57.80078,-152.15264,52.80924
 13:58:49.27,57.80081,-152.15259,55.06311
 13:58:48.47,57.80078,-152.15263,54.25615
 13:58:49.67,57.80082,-152.15258,51.05946
 13:58:50.67,57.80084,-152.15254,40.76110
 13:58:50.67,57.80084,-152.15254,53.85648
 13:58:51.27,57.80086,-152.15252,55.75765
 13:58:54.27,57.80097,-152.15245,51.57476
 13:58:54.87,57.80100,-152.15244,52.30340
 13:58:54.87,57.80100,-152.15244,50.12969
 13:58:56.07,57.80104,-152.15243,48.19395
 13:58:56.27,57.80104,-152.15243,44.65408
 13:58:57.07,57.80107,-152.15242,46.24478
 13:58:57.67,57.80109,-152.15242,48.13122
 13:58:56.47,57.80105,-152.15243,39.00222
 13:58:57.07,57.80107,-152.15242,42.11221
 13:58:59.27,57.80114,-152.15243,44.42107
 13:58:59.67,57.80115,-152.15243,51.77992
 13:58:59.87,57.80116,-152.15243,47.26275
 13:59:19.07,57.80174,-152.15248,44.95519
 13:59:20.67,57.80179,-152.15248,47.56663
 13:59:19.87,57.80176,-152.15248,46.62924
 13:59:21.47,57.80182,-152.15248,47.42453
 13:59:20.07,57.80177,-152.15248,45.59299
 13:59:23.27,57.80186,-152.15248,46.56740
 13:59:24.27,57.80189,-152.15248,45.16788
 13:59:26.87,57.80196,-152.15249,43.33371
 13:59:47.47,57.80255,-152.15260,38.81103
